pagina,url,tipo,formId_banner,formId_modal,incrustaciones_en_html,formId_esperado_inventario_15sep,banner_coincide,modal_coincide,nombre_formulario_segun_hubspot,formulario_corresponde_a_la_pagina,programa_que_envia_el_formulario,programa_que_deberia_enviar,programa_coincide,activador_segun_hubspot,formId_que_debe_ir_en_la_pagina,vicente_debe_repuntar,accion,observacion
programa-de-especializacion-en-inteligencia-emocional-y-coaching,https://udeponline.pe/programa-de-especializacion-en-inteligencia-emocional-y-coaching/,programa,518f587e-3cfe-4c56-85d7-1939a4624925,518f587e-3cfe-4c56-85d7-1939a4624925,2,518f587e-3cfe-4c56-85d7-1939a4624925,SI,SI,PIURA: PDE en Inteligencia Emocional y Coaching (UDN UDEP),SI,Marketing Digital y Ecommerce,Inteligencia Emocional y Coaching,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),518f587e-3cfe-4c56-85d7-1939a4624925,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva/,programa,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,2,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,SI,SI,PIURA: PDE en Liderazgo y Comunicación Efectiva (UDN UDEP),SI,Marketing Digital y Ecommerce,Liderazgo y Comunicación Efectiva,NO,0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP),20d1a6ad-9788-4a2a-a6cc-4917bed546e8,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-liderazgo-y-felicidad-organizacional,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-felicidad-organizacional/,programa,81e1fd4a-6992-4150-9153-ca6bcb9ad986,81e1fd4a-6992-4150-9153-ca6bcb9ad986,2,81e1fd4a-6992-4150-9153-ca6bcb9ad986,SI,SI,PIURA: PDE en Liderazgo y Felicidad Organizacional (UDN UDEP),SI,Marketing Digital y Ecommerce,liderazgo_y_felicidad_organizacional,NO,0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP),81e1fd4a-6992-4150-9153-ca6bcb9ad986,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-liderazgo-y-gestion-del-talento,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-gestion-del-talento/,programa,c207918c-7869-42f2-96f7-76a963123ef5,c207918c-7869-42f2-96f7-76a963123ef5,2,c207918c-7869-42f2-96f7-76a963123ef5,SI,SI,PIURA: PDE en Liderazgo y Gestión del Talento (UDN UDEP),SI,Marketing Digital y Ecommerce,Liderazgo y Gestión del Talento,NO,0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP),c207918c-7869-42f2-96f7-76a963123ef5,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos/,programa,84f82226-d1c2-43aa-b4e9-da20f43c0548,84f82226-d1c2-43aa-b4e9-da20f43c0548,8,84f82226-d1c2-43aa-b4e9-da20f43c0548,SI,SI,Liderazgo y Negociación de Conflictos Piura (UDN UDEP),SI,Marketing Digital y Ecommerce,Liderazgo y Negociación de Conflictos,NO,0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP),84f82226-d1c2-43aa-b4e9-da20f43c0548,NO,editar el formulario en HubSpot (no cambia el formId),marcado: 8 incrustaciones / 1 formularios (6 bloques con HS_FORM_ID sin resolver); el campo oculto envia otro programa
programa-de-especializacion-en-liderazgo-y-transformacion-digital,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-transformacion-digital/,programa,1117d061-5d64-4497-9ce3-e3aff834e996,1117d061-5d64-4497-9ce3-e3aff834e996,2,1117d061-5d64-4497-9ce3-e3aff834e996,SI,SI,PIURA: PDE en Liderazgo y Transformación Digital (UDN UDEP),SI,Marketing Digital y Ecommerce,liderazgo_y_transformacion_digital,NO,0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP),1117d061-5d64-4497-9ce3-e3aff834e996,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-marketing-digital-y-business-model,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-business-model/,programa,f49da541-6cda-489e-98cf-985b7b3dc1b8,f49da541-6cda-489e-98cf-985b7b3dc1b8,2,f49da541-6cda-489e-98cf-985b7b3dc1b8,SI,SI,Marketing Digital y Business Model Piura (UDN UDEP),SI,Marketing Digital y Ecommerce,Marketing Digital y Business Model,NO,0302. Activador Cluster Marketing Digital Piura (UDN UDEP),f49da541-6cda-489e-98cf-985b7b3dc1b8,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-marketing-digital-y-e-commerce,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-e-commerce/,programa,cd64140f-f93d-4265-8222-426ad8dfc3d8,cd64140f-f93d-4265-8222-426ad8dfc3d8,2,cd64140f-f93d-4265-8222-426ad8dfc3d8,SI,SI,PIURA: PDE en Marketing Digital y E-commerce (UDN UDEP),SI,Marketing Digital y Ecommerce,Marketing Digital y Ecommerce,SI,0302. Activador Cluster Marketing Digital Piura (UDN UDEP),cd64140f-f93d-4265-8222-426ad8dfc3d8,NO,nada,
programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence/,programa,b8164bf0-4166-46aa-8760-5cb87ebd8888,b8164bf0-4166-46aa-8760-5cb87ebd8888,2,b8164bf0-4166-46aa-8760-5cb87ebd8888,SI,SI,PDE en Modelo de Negocios Digitales y Business Intelligence,SI,Marketing Digital y Ecommerce,Modelo de Negocios Digitales y Business Intelligence,NO,0307. Activador Cluster Emprendimiento Innovación y Tecnología (UDN UDEP),b8164bf0-4166-46aa-8760-5cb87ebd8888,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital/,programa,5878cd5d-839e-4146-bc79-725360097a74,5878cd5d-839e-4146-bc79-725360097a74,2,5878cd5d-839e-4146-bc79-725360097a74,SI,SI,PIURA: PDE en Modelo de Negocios y Transformación Digital (UDN UDEP),SI,Marketing Digital y Ecommerce,Modelo de Negocios y Transformación Digital,NO,0307. Activador Cluster Emprendimiento Innovación y Tecnología (UDN UDEP),5878cd5d-839e-4146-bc79-725360097a74,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
